year,January 2d,January 3d,January 22d,January 23d,February 2d,February 3d,February 22d,February 23d,March 2d,March 3d,March 22d,March 23d,April 2d,April 3d,April 22d,April 23d,May 2d,May 3d,May 22d,May 23d,June 2d,June 3d,June 22d,June 23d,July 2d,July 3d,July 22d,July 23d,August 2d,August 3d,August 22d,August 23d,September 2d,September 3d,September 22d,September 23d,October 2d,October 3d,October 22d,October 23d,November 2d,November 3d,November 22d,November 23d,December 2d,December 3d,December 22d,December 23d
1800,0.0,5.407965986137242e-08,0.0,5.407965986137242e-08,1.8927880773844663e-07,1.3519914965343105e-08,6.759957216218027e-08,1.3519914965343105e-08,6.759957216218027e-08,1.2167923557626636e-07,1.3519914965343105e-08,2.703982993068621e-08,1.3519914432436053e-07,8.111948801570179e-08,4.0559744007850895e-08,5.407965986137242e-08,1.2167923557626636e-07,2.1631863944548968e-07,4.0559744007850895e-08,6.759957216218027e-08,8.111948801570179e-08,1.0815931972274484e-07,1.3519914432436053e-07,2.703982993068621e-08,2.027987306973955e-07,1.0815931972274484e-07,1.6223897603140358e-07,2.703982993068621e-08,1.3519914432436053e-07,5.407965986137242e-08,4.0559744007850895e-08,9.463940386922332e-08,1.0815931972274484e-07,2.703982993068621e-08,8.111948801570179e-08,1.2167923557626636e-07,4.0559744007850895e-08,1.3519914965343105e-08,0.0,1.0815931972274484e-07,4.0559744007850895e-08,4.0559744007850895e-08,6.759957216218027e-08,1.3519914965343105e-08,2.703982993068621e-08,4.0559744007850895e-08,4.0559744007850895e-08,4.0559744007850895e-08
1801,1.7838974741835045e-08,0.0,1.7838974741835045e-08,0.0,6.24364133727795e-08,8.919487370917523e-09,2.6758462112752568e-08,2.6758462112752568e-08,3.389405094367248e-07,1.873092401183385e-07,1.7838974741835045e-08,1.24872826745559e-07,6.24364133727795e-08,6.24364133727795e-08,1.1595333404557095e-07,8.919487370917523e-09,6.24364133727795e-08,4.4597435078230774e-08,7.135589896734018e-08,3.567794948367009e-08,7.135589896734018e-08,2.319066680911419e-07,6.24364133727795e-08,1.7838974741835045e-08,7.135589896734018e-08,4.4597435078230774e-08,1.0703384845101027e-07,2.6758462112752568e-08,4.4597435078230774e-08,6.24364133727795e-08,3.567794948367009e-08,2.408261536857026e-07,2.6758462112752568e-08,1.4271179793468036e-07,2.6758462112752568e-08,4.4597435078230774e-08,3.567794948367009e-08,1.5163128352924105e-07,0.0,3.567794948367009e-08,6.24364133727795e-08,7.135589896734018e-08,0.0,4.4597435078230774e-08,2.6758462112752568e-08,5.3516924225505136e-08,2.6758462112752568e-08,8.919487370917523e-09
1802,1.9965689546097565e-08,5.98970686382927e-08,0.0,9.982844773048782e-09,2.994853431914635e-08,3.993137909219513e-08,0.0,2.994853431914635e-08,3.993137909219513e-08,1.397598339281103e-07,1.9965689546097565e-08,9.982844773048782e-09,9.982844773048782e-08,9.982844773048782e-08,5.98970686382927e-08,2.994853431914635e-08,9.982844773048782e-08,1.297769784969205e-07,9.982844773048782e-09,3.993137909219513e-08,8.984559940472536e-08,6.987991696405516e-08,3.993137909219513e-08,1.9965689546097565e-08,6.987991696405516e-08,5.98970686382927e-08,4.991422386524391e-08,3.993137909219513e-08,1.9965689546097565e-08,0.0,1.0981129605625028e-07,5.98970686382927e-08,5.98970686382927e-08,8.984559940472536e-08,0.0,0.0,9.982844773048782e-09,0.0,0.0,4.991422386524391e-08,7.986275818439026e-08,3.993137909219513e-08,2.994853431914635e-08,0.0,0.0,3.993137909219513e-08,0.0,0.0
1803,1.836850493930342e-08,9.18425246965171e-09,4.592126146008013e-08,1.836850493930342e-08,5.51055165942671e-08,7.347401975721368e-08,6.428976462302671e-08,9.184252292016026e-08,5.51055165942671e-08,1.102110331885342e-07,3.673700987860684e-08,2.755275829713355e-08,4.592126146008013e-08,7.347401975721368e-08,8.265827489140065e-08,5.51055165942671e-08,8.265827489140065e-08,1.102110331885342e-07,5.51055165942671e-08,1.1939528121729381e-07,9.184252292016026e-08,1.653165497828013e-07,2.755275829713355e-08,1.3776379148566775e-07,8.265827489140065e-08,1.836850493930342e-08,8.265827489140065e-08,8.265827489140065e-08,7.347401975721368e-08,9.18425246965171e-09,3.673700987860684e-08,2.204220663770684e-07,1.4694803951442736e-07,8.265827489140065e-08,3.673700987860684e-08,3.673700987860684e-08,9.184252292016026e-08,8.265827489140065e-08,7.347401975721368e-08,6.428976462302671e-08,0.0,1.1939528121729381e-07,0.0,1.836850493930342e-08,2.755275829713355e-08,1.0102677805434723e-07,7.347401975721368e-08,9.18425246965171e-09
1804,1.6757903509301286e-08,3.351580701860257e-08,8.378951754650643e-09,2.513685615213035e-08,5.865266317073292e-08,2.513685615213035e-08,0.0,8.378951754650643e-09,1.0892637192227994e-07,2.1785274384455988e-07,3.351580701860257e-08,2.513685615213035e-08,2.0947379653080134e-07,3.267791157668398e-07,1.6757903509301286e-08,5.02737123042607e-08,6.703161403720514e-08,5.865266317073292e-08,8.378951754650643e-09,2.513685615213035e-08,1.6757903509301286e-08,9.21684701893355e-08,1.6757903509301286e-08,5.865266317073292e-08,5.865266317073292e-08,3.351580701860257e-08,8.378951577014959e-08,2.513685615213035e-08,8.378951754650643e-09,8.378951754650643e-09,1.6757903509301286e-08,1.1730532634146584e-07,4.1894757885074796e-08,2.513685615213035e-08,8.378951754650643e-09,1.6757903509301286e-08,8.378951754650643e-09,8.378951754650643e-09,8.378951754650643e-09,4.1894757885074796e-08,3.351580701860257e-08,4.1894757885074796e-08,4.1894757885074796e-08,0.0,3.351580701860257e-08,1.6757903509301286e-08,0.0,0.0
1805,1.6583744155695967e-08,3.3167488311391935e-08,2.487561623354395e-08,3.3167488311391935e-08,7.462684692427501e-08,5.8043106321292726e-08,1.6583744155695967e-08,1.6583744155695967e-08,8.291871722576616e-08,6.633497662278387e-08,2.487561623354395e-08,1.1608621264258545e-07,1.3266995324556774e-07,6.633497662278387e-08,9.121059463268466e-08,4.97512324670879e-08,4.145935861288308e-08,4.145935861288308e-08,4.145935861288308e-08,2.487561623354395e-08,4.97512324670879e-08,3.3167488311391935e-08,7.462684692427501e-08,3.3167488311391935e-08,1.0779433523566695e-07,9.95024649341758e-08,5.8043106321292726e-08,8.291871722576616e-08,6.633497662278387e-08,9.95024649341758e-08,6.633497662278387e-08,9.121059463268466e-08,5.8043106321292726e-08,9.95024649341758e-08,2.487561623354395e-08,4.145935861288308e-08,2.487561623354395e-08,1.3266995324556774e-07,4.145935861288308e-08,5.8043106321292726e-08,3.3167488311391935e-08,0.0,4.145935861288308e-08,0.0,4.145935861288308e-08,4.145935861288308e-08,3.3167488311391935e-08,9.121059463268466e-08
1806,4.044993673346653e-08,4.044993673346653e-08,5.662991142685314e-08,4.8539924080159835e-08,1.6179974693386612e-08,8.089987346693306e-09,2.4269962040079918e-08,0.0,4.044993673346653e-08,8.898986436634004e-08,4.8539924080159835e-08,5.662991142685314e-08,1.1325982285370628e-07,4.044993673346653e-08,2.4269962040079918e-08,3.2359949386773224e-08,7.280988256752607e-08,8.089987346693306e-08,5.662991142685314e-08,8.089987346693306e-08,3.2359949386773224e-08,6.471989877354645e-08,2.4269962040079918e-08,1.4561976513505215e-07,1.2134981375311327e-07,8.898986436634004e-08,7.280988256752607e-08,3.2359949386773224e-08,4.044993673346653e-08,8.089987346693306e-08,6.471989877354645e-08,3.2359949386773224e-08,6.471989877354645e-08,1.1325982285370628e-07,8.089987346693306e-09,2.4269962040079918e-08,2.4269962040079918e-08,5.662991142685314e-08,3.2359949386773224e-08,2.4269962040079918e-08,3.2359949386773224e-08,8.898986436634004e-08,1.6179974693386612e-08,0.0,8.089987346693306e-09,1.6179974693386612e-08,8.089987346693306e-09,4.044993673346653e-08
1807,0.0,2.222560979703303e-08,7.4085364509812734e-09,5.1859753824601285e-08,2.222560979703303e-08,4.445121959406606e-08,0.0,0.0,9.631097697138102e-08,3.704268181081716e-08,1.4817072901962547e-08,2.222560979703303e-08,2.222560979703303e-08,4.445121959406606e-08,4.445121959406606e-08,0.0,1.1853658321570038e-07,1.1112804543245147e-07,5.926829160785019e-08,2.9634145803925094e-08,3.704268181081716e-08,2.9634145803925094e-08,4.445121959406606e-08,9.631097697138102e-08,7.4085364509812734e-09,8.890243918813212e-08,5.926829160785019e-08,2.9634145803925094e-08,5.1859753824601285e-08,8.149390140488322e-08,2.9634145803925094e-08,8.149390140488322e-08,6.667682583838541e-08,1.0371950764920257e-07,5.1859753824601285e-08,3.704268181081716e-08,2.9634145803925094e-08,1.4817072901962547e-08,4.445121959406606e-08,8.149390140488322e-08,8.149390140488322e-08,5.926829160785019e-08,5.1859753824601285e-08,4.445121959406606e-08,3.704268181081716e-08,4.445121959406606e-08,0.0,1.4817072901962547e-08
1808,1.4733109310327563e-07,1.3259798947728996e-07,8.103210547005801e-08,1.6206421094011603e-07,8.103210547005801e-08,2.2099664320762713e-08,7.366554921617308e-09,4.4199328641525426e-08,2.136300878419206e-07,5.1565884007231944e-08,2.2099664320762713e-08,6.629899473864498e-08,1.4733109843234615e-08,6.629899473864498e-08,2.946621968646923e-08,3.683277327581891e-08,3.683277327581891e-08,6.629899473864498e-08,2.2099664320762713e-08,1.4733109843234615e-08,1.3259798947728996e-07,2.2099664320762713e-08,3.683277327581891e-08,3.683277327581891e-08,1.3259798947728996e-07,4.4199328641525426e-08,2.2099664320762713e-08,4.4199328641525426e-08,2.946621968646923e-08,7.366554921617308e-09,2.946621968646923e-08,2.2099664320762713e-08,1.4733109843234615e-08,3.683277327581891e-08,3.683277327581891e-08,7.366554655163782e-08,2.2099664320762713e-08,3.683277327581891e-08,3.683277327581891e-08,7.366554655163782e-08,0.0,3.683277327581891e-08,2.946621968646923e-08,1.4733109843234615e-08,2.2099664320762713e-08,9.576521620147105e-08,1.4733109310327563e-07,8.103210547005801e-08
1809,3.4697183792786745e-08,6.939436758557349e-08,6.24549301164734e-08,6.939436758557349e-08,5.551549264737332e-08,4.8576055178273236e-08,2.0818308854586576e-08,6.24549301164734e-08,8.32732354183463e-08,1.0409154782564656e-07,2.0818308854586576e-08,7.633380505467358e-08,6.939436758557349e-08,4.163661770917315e-08,3.4697183792786745e-08,2.0818308854586576e-08,5.551549264737332e-08,5.551549264737332e-08,2.0818308854586576e-08,2.0818308854586576e-08,3.4697183792786745e-08,1.3878873517114698e-07,6.939436758557349e-08,1.1103098529474664e-07,1.8736479034942022e-07,1.249098602329468e-07,3.4697183792786745e-08,4.8576055178273236e-08,1.1797042276384673e-07,9.021267288744639e-08,6.24549301164734e-08,2.775774632368666e-08,1.387887316184333e-08,1.3184929059661954e-07,5.551549264737332e-08,4.163661770917315e-08,6.24549301164734e-08,4.8576055178273236e-08,2.0818308854586576e-08,6.939436758557349e-08,7.633380505467358e-08,2.775774632368666e-08,1.387887316184333e-08,1.1103098529474664e-07,5.551549264737332e-08,0.0,0.0,3.4697183792786745e-08
